year,gear,ocean,species,product,property,value
2012,TR,EPO,ALB,lc,sales_value,134688375.5
2012,TR,EPO,ALB,dom,volume,1663.4
2012,TR,EPO,ALB,dom,catch_value,5742056.8
2012,TR,EPO,ALB,dom,sales_value,4990200
2012,BBPL,WIO,BET,lc,volume,179
2012,BBPL,WIO,BET,lc,catch_value,358850.25
2012,BBPL,WIO,BET,lc,sales_value,1422997.527
2012,BBPL,WIO,BET,dom,volume,537
2012,BBPL,WIO,BET,dom,catch_value,1076550.75
2012,BBPL,WIO,BET,dom,sales_value,2148000
2012,BBPL,WIO,SKJ,lc,volume,15343.5
2012,BBPL,WIO,SKJ,lc,catch_value,24004675.92
2012,BBPL,WIO,SKJ,lc,sales_value,95437660.84
2012,BBPL,WIO,SKJ,dom,volume,46030.5
2012,BBPL,WIO,SKJ,dom,catch_value,72014027.77
2012,BBPL,WIO,SKJ,dom,sales_value,161106750
2012,BBPL,WIO,YFT,lc,volume,3466
2012,BBPL,WIO,YFT,lc,catch_value,6419342.986
2012,BBPL,WIO,YFT,lc,sales_value,33803646.58
2012,BBPL,WIO,YFT,dom,volume,10398
2012,BBPL,WIO,YFT,dom,catch_value,19258028.96
2012,BBPL,WIO,YFT,dom,sales_value,57189000
2012,GN,WIO,BET,lc,volume,1192.8
2012,GN,WIO,BET,lc,catch_value,2391265.8
2012,GN,WIO,BET,lc,sales_value,9482410.337
2012,GN,WIO,BET,dom,volume,298.2
2012,GN,WIO,BET,dom,catch_value,597816.45
2012,GN,WIO,BET,dom,sales_value,1192800
2012,GN,WIO,SKJ,lc,volume,24241.6
2012,GN,WIO,SKJ,lc,catch_value,37925620.09
2012,GN,WIO,SKJ,lc,sales_value,150784475.5
2012,GN,WIO,SKJ,dom,volume,6060.4
2012,GN,WIO,SKJ,dom,catch_value,9481405.023
2012,GN,WIO,SKJ,dom,sales_value,21211400
2012,GN,WIO,YFT,lc,volume,38839.2
2012,GN,WIO,YFT,lc,catch_value,71933683.24
2012,GN,WIO,YFT,lc,sales_value,378795900.2
2012,GN,WIO,YFT,dom,volume,9709.8
2012,GN,WIO,YFT,dom,catch_value,17983420.81
2012,GN,WIO,YFT,dom,sales_value,53403900
2012,HL,WIO,ALB,fsh_sash,volume,187.85
2012,HL,WIO,ALB,fsh_sash,catch_value,881148.0146
2012,HL,WIO,ALB,fsh_sash,sales_value,2145383.513
2012,HL,WIO,ALB,fzn_sash,volume,33.15
2012,HL,WIO,ALB,fzn_sash,catch_value,126894.7613
2012,HL,WIO,ALB,fzn_sash,sales_value,573166.0223
2012,HL,WIO,BET,fsh_sash,volume,58.65
2012,HL,WIO,BET,fsh_sash,catch_value,367454.2006
2012,HL,WIO,BET,fsh_sash,sales_value,1295541.844
2012,HL,WIO,BET,fzn_sash,volume,10.35
2012,HL,WIO,BET,fzn_sash,catch_value,112330.8103
2012,HL,WIO,BET,fzn_sash,sales_value,178952.2875
2012,HL,WIO,SKJ,fsh_sash,volume,2088.45
2012,HL,WIO,SKJ,fsh_sash,catch_value,10414709.52
2012,HL,WIO,SKJ,fsh_sash,sales_value,23851616.7
2012,HL,WIO,SKJ,fzn_sash,volume,368.55
2012,HL,WIO,SKJ,fzn_sash,catch_value,559184.8431
2012,HL,WIO,SKJ,fzn_sash,sales_value,6372257.542
2012,HL,WIO,YFT,fsh_sash,volume,62310.95
2012,HL,WIO,YFT,fsh_sash,catch_value,281766041.6
2012,HL,WIO,YFT,fsh_sash,sales_value,1171788570
2012,HL,WIO,YFT,fzn_sash,volume,10996.05
2012,HL,WIO,YFT,fzn_sash,catch_value,64539689.62
2012,HL,WIO,YFT,fzn_sash,sales_value,201455046.4
2012,LL,WIO,ALB,lc,volume,7579.2
2012,LL,WIO,ALB,lc,catch_value,26762155.2
2012,LL,WIO,ALB,lc,sales_value,68188992.82
2012,LL,WIO,ALB,fzn_sash,volume,1894.8
