year,gear,ocean,species,product,volume,catch_value,sales_value
2014,TR,WCPO,YFT,fsh_sash,15358.5,85301109,226135098.3
2014,TR,WCPO,YFT,fzn_sash,15358.5,72952875,218923230.9
2014,GN,EPO,PBF,fzn_sash,4,0,0
2014,LL,EPO,ALB,lc,28875,74613000,262428415.2
2014,LL,EPO,BET,lc,7017.4,9529629.2,56354072.1
2014,LL,EPO,BET,fsh_sash,10526.1,75735289.5,183550052.9
2014,LL,EPO,BET,fzn_sash,17543.5,124997437.5,265155605.4
2014,LL,EPO,YFT,lc,1537.2,1967616,15144792.46
2014,LL,EPO,YFT,fsh_sash,2305.8,12806413.2,33950080.4
2014,LL,EPO,YFT,fzn_sash,3843,18254250,54778915.66
2014,Other,EPO,ALB,lc,132.5,342380,1204216.97
2014,Other,EPO,ALB,dom,132.5,342380,397500
2014,Other,EPO,PBF,fsh_sash,1,25328.73563,46665.98312
2014,Other,EPO,SKJ,lc,91.8,104835.6,576814.2571
2014,Other,EPO,SKJ,dom,826.2,943520.4,2891700
2014,Other,EPO,YFT,lc,319,408320,3142849.854
2014,Other,EPO,YFT,dom,319,408320,1754500
2014,PS,EPO,BET,lc,59600,80936800,478624946.2
2014,PS,EPO,PBF,fzn_sash,3420.95,44956193.48,197199101
2014,PS,EPO,PBF,For ranching,1842.05,18470603.76,106184131.3
2014,PS,EPO,SKJ,lc,261665,298821430,1644140551
2014,PS,EPO,YFT,lc,232889,298097920,2294467585
2014,TR,EPO,ALB,lc,17381.7,44914312.8,157972363.1
2014,TR,EPO,ALB,dom,1931.3,4990479.2,5793900
2014,TR,EPO,SKJ,lc,53,60526,0
2014,TR,EPO,YFT,lc,1832,2344960,0
2014,BBPL,WIO,BET,lc,76,103208,610327.1126
2014,BBPL,WIO,BET,dom,228,309624,912000
2014,BBPL,WIO,SKJ,lc,20063,22911946,126063447.1
2014,BBPL,WIO,SKJ,dom,60189,68735838,210661500
2014,BBPL,WIO,YFT,lc,5493.25,7031360,54120564.13
2014,BBPL,WIO,YFT,dom,16479.75,21094080,90638625
2014,GN,WIO,BET,lc,1808,2455264,14519360.78
2014,GN,WIO,BET,dom,452,613816,1808000
2014,GN,WIO,SKJ,lc,34955.2,39918838.4,219636794.3
2014,GN,WIO,SKJ,dom,8738.8,9979709.6,30585800
2014,GN,WIO,YFT,lc,45274.4,57951232,446052167.4
2014,GN,WIO,YFT,dom,11318.6,14487808,62252300
2014,HL,WIO,ALB,fsh_sash,219.3,1028670.533,3038679.936
2014,HL,WIO,ALB,fzn_sash,38.7,121247.1,584918.7408
2014,HL,WIO,BET,fsh_sash,3690.7,26554586.5,64356996.45
2014,HL,WIO,BET,fzn_sash,651.3,4640512.5,9843865.009
2014,HL,WIO,SKJ,fsh_sash,18704.25,93274596.25,259171131.8
2014,HL,WIO,SKJ,fzn_sash,3300.75,3769456.5,49888127.48
2014,HL,WIO,YFT,fsh_sash,79004.1,357251374.3,1163238592
2014,HL,WIO,YFT,fzn_sash,13941.9,66224025,198730721.9
2014,LL,WIO,ALB,lc,17680.8,45687187.2,160690712.5
2014,LL,WIO,ALB,fzn_sash,4420.2,13848486.6,66807695.55
2014,LL,WIO,BET,fzn_sash,32292,230080500,488067079.5
2014,LL,WIO,SKJ,lc,69,78798,433553.1997
2014,LL,WIO,YFT,fzn_sash,20375,96781250,290429457.9
2014,Other,WIO,SKJ,lc,20,22840,125667.5941
2014,Other,WIO,YFT,lc,174,222720,1714281.738
2014,PS,WIO,ALB,lc,642,1658928,5834772.036
2014,PS,WIO,BET,lc,22499,30553642,180680917.2
2014,PS,WIO,SKJ,lc,137407,156918794,863380355.3
2014,PS,WIO,YFT,lc,148639,190257920,1464420249
2014,BBPL,EIO,SKJ,lc,1060.65,1244779.448,6664466.686
2014,BBPL,EIO,SKJ,dom,6010.35,7053750.205,21036225
2014,BBPL,EIO,YFT,lc,243.75,674388.5268,2401472.263
2014,BBPL,EIO,YFT,dom,1381.25,3821534.985,7596875
2014,GN,EIO,ALB,lc,3.35,8802.962994,30446.24038
2014,GN,EIO,ALB,dom,63.65,167256.2969,190950
2014,GN,EIO,BET,lc,81.15,227195.2218,651684.8051
2014,GN,EIO,BET,dom,1541.85,4316709.215,6167400
2014,GN,EIO,SKJ,lc,3282.9,3852813.322,20627707.24
2014,GN,EIO,SKJ,dom,62375.1,73203453.12,218312850
2014,GN,EIO,YFT,lc,459.5,1271308.833,4527083.096
2014,GN,EIO,YFT,dom,8730.5,24154867.83,48017750
2014,HL,EIO,ALB,dom,1589,4175494.984,4767000
2014,HL,EIO,SKJ,dom,27625,32420715.84,96687500
2014,HL,EIO,YFT,fsh_sash,7134,39622236,105039410.9
2014,HL,EIO,YFT,fzn_sash,16646,79068500,237275521.8
2014,LL,EIO,ALB,lc,16092,42285755.37,146251015
2014,LL,EIO,BET,fsh_sash,10143,72978885,176869703.6
2014,LL,EIO,BET,fzn_sash,10143,72268875,153303121.1
2014,LL,EIO,SKJ,dom,2820,3309553.617,9870000
2014,LL,EIO,YFT,dom,28003.8,77478734.06,154020900
2014,LL,EIO,YFT,fsh_sash,16335.55,90727644.7,240520962.7
2014,LL,EIO,YFT,fzn_sash,2333.65,11084837.5,33264329.05
2014,Other,EIO,ALB,lc,61,160292.759,554394.2277
2014,Other,EIO,ALB,dom,61,160292.759,183000
2014,Other,EIO,BET,fsh_sash,1063,7648285,18536182.09
2014,Other,EIO,BET,fzn_sash,1063,7573875,16066372.65
2014,Other,EIO,SKJ,lc,3799.5,4459095.378,23873701.19
2014,Other,EIO,SKJ,dom,3799.5,4459095.378,13298250
2014,Other,EIO,YFT,fsh_sash,1229.5,6828643,18102881.36
2014,Other,EIO,YFT,fzn_sash,1229.5,5840125,17525546.92
2014,PS,EIO,BET,lc,6434,12395101,51669008.45
2014,PS,EIO,SKJ,lc,38245,44884353.92,240307856.9
2014,PS,EIO,YFT,lc,5900,16323660.75,58127944
2014,BBPL,EAO,ALB,lc,11977,30948568,108852125.7
2014,BBPL,EAO,BET,lc,8520,17711779.26,68420881.57
2014,BBPL,EAO,BFT,fsh_sash,71.25,1804672.414,3324951.297
2014,BBPL,EAO,BFT,fzn_sash,23.75,297693.6576,1369057.908
2014,BBPL,EAO,SKJ,lc,22944,26564569.78,144165864
2014,BBPL,EAO,YFT,lc,9448,19116715.49,93083527.95
2014,GN,EAO,SKJ,lc,1143,1323365.728,7181903.005
2014,GN,EAO,YFT,dom,211,583778.376,1167556.752
2014,HL,EAO,ALB,dom,16,41344,48000
2014,HL,EAO,BET,dom,222,461504.1075,888000
2014,HL,EAO,BFT,fsh_sash,178.5,4521179.31,8329877.987
2014,HL,EAO,BFT,fzn_sash,59.5,745800.9526,3429850.337
2014,HL,EAO,SKJ,lc,512,592793.7468,3217090.41
2014,HL,EAO,YFT,dom,1222,2472547.241,6721000
2014,LL,EAO,ALB,lc,2615,6757160,23766244.35
2014,LL,EAO,BET,fzn_sash,15260,87622920,230642376.8
2014,LL,EAO,BFT,dom,180.7,375647.7127,751295.4255
2014,LL,EAO,BFT,fsh_sash,542.1,13730707.59,25297629.45
2014,LL,EAO,BFT,fzn_sash,1084.2,13589872.15,62498214.04
2014,LL,EAO,SKJ,lc,63,72941.41806,395852.9215
2014,LL,EAO,YFT,fzn_sash,1915,13405000,27296805.49
2014,Other,EAO,ALB,dom,6710,17338640,20130000
2014,Other,EAO,BFT,fzn_sash,2786,34921032.84,160597698.1
2014,Other,EAO,SKJ,lc,188,217666.4539,1181275.385
2014,PS,EAO,ALB,lc,60,155040,545305.7978
2014,PS,EAO,BET,lc,24679,51303873.28,198187668.6
2014,PS,EAO,BFT,For ranching,8195,102719979.9,472397033.8
2014,PS,EAO,SKJ,lc,178353,206497154.5,1120659621
2014,PS,EAO,YFT,lc,73417,148549100.5,723318519.4
2014,TR,EAO,ALB,lc,3334.5,8616348,30305369.71
2014,TR,EAO,ALB,dom,3334.5,8616348,10003500
